id,mood,moment_containment,day_step
37,متوتر,"اغسل وجهك بماء بارد وذكر نفسك بصوت مسموع: 'هذا مجرد شعور، وليس حقيقة واقعة'.","قلل من استهلاك السكريات المكررة اليوم، فهي تسبب تذبذباً في الطاقة يزيد من التوتر."
38,متوتر,"ارسم علامة (اللانهاية ∞) بإصبعك على راحة يدك ببطء، وتتبعها بعينيك.","اكتب 3 مهام بسيطة جداً تنوي فعلها غداً، لتشعر بالسيطرة على يومك القادم."
39,متوتر,"عد عكسياً من 50 بالقفز 3 أرقام (50، 47، 44..).","شاهد مقطعاً مضحكاً أو برنامجاً كوميدياً. الضحك يكسر دائرة الكورتيزول (هرمون التوتر)."
40,متوتر,"ارفع يديك عالياً فوق رأسك ومط جسدك قدر المستطاع، ثم أسقطهما براحة تامة.","اكتب مخاوفك في ورقة، ثم ضعها في درج بعيد، كعلامة على أنك لن تفكر فيها الآن."
41,حزين,"اسمح لنفسك بالضيق دون إطلاق أحكام. لا تكتم مشاعرك، فالبكاء يفرز هرمونات مسكنة للألم.","لا تضغط على نفسك بضرورة الإنجاز اليوم. كافئ نفسك بشيء بسيط لا يتطلب مجهوداً."
42,حزين,"احتضن وسادة ثقيلة. الضغط الجسدي يرسل إشارات أمان للدماغ ويخفف الشعور بالوحدة.","تحدث مع شخص تشعر معه بالأمان بدون أن تطلب حلولاً، أو فرغ مشاعرك في يومياتك."
43,حزين,"ضع يدك اليمنى على صدرك، وخذ أنفاساً بطيئة. استشعر نبضك وذكر نفسك أن هذه اللحظة ستمر.","اكتفِ بالحد الأدنى من المهام اليوم. طاقتك منخفضة وتحتاج للتعافي وليس للإنتاجية."
44,حزين,"اصنع لنفسك مشروباً دافئاً واجلس في مكان مريح. ركز فقط على دفء الكوب في يديك.","اكتب ثلاثة أشياء بسيطة وموجودة في يومك رغم قسوته لتبقي نافذة الأمل مفتوحة."
45,حزين,"انظر من النافذة إلى السماء أو الأشجار لبضع دقائق. اتساع الرؤية يخفف الانقباض الداخلي.","تجنب إجبار نفسك على الإيجابية الزائفة. من الطبيعي جداً أن تمر بأيام سيئة."
46,حزين,"استمع لمقطع هادئ يلامس قلبك ويسمح لمشاعرك بالتدفق بسلام دون مقاومة.","عامل نفسك اليوم كما تعامل صديقاً مقرباً يمر بوقت عصيب."
47,حزين,"اغسل وجهك بماء دافئ، وقم بتدليك صدغيك بلطف لتخفيف التوتر المصاحب للحزن.","اخرج للهواء الطلق لمدة 5 دقائق فقط. تغيير البيئة يساعد على كسر الجمود العاطفي."
48,حزين,"تصور أن الحزن موجة بحر، اتركها تمر من خلالك ولا تقف في وجهها لتقاومها.","سامح نفسك على عدم قدرتك على العطاء اليوم. تراجع قليلاً لتعطي روحك فرصة للشفاء."
49,حزين,"ابحث عن صورة قديمة تذكرك بلحظة أمان أو بشخص تحبه، واحتفظ بها أمامك لدقائق.","افعل شيئاً صغيراً يعتني بجسدك (وجبة مغذية، استحمام دافئ) فالجسد يتأثر بحزن الروح."
50,حزين,"تأرجح بجسدك للأمام والخلف ببطء شديد. هذه الحركة البدائية تعطي شعوراً بالمواساة العميقة.","شاهد فيلماً كلاسيكياً تفضله وتشعر بالراحة عند مشاهدته (Comfort Movie)."
51,حزين,"لف نفسك ببطانية دافئة من الرأس للقدمين. الدفء يقلل من ارتعاش المشاعر الداخلية.","اطلب طعامك المفضل اليوم. تدليل النفس في وقت الحزن هو حق مشروع تماماً."
52,حزين,"اسمح لدموعك بالنزول دون أن تمسحها فوراً. البكاء هو طريقة الجسد لغسل الألم النفسي.","اكتب وصفاً دقيقاً لمشاعرك، فمجرد تسمية الشعور يقلل من وطأته وثقله."
53,حزين,"امسح على ذراعيك المعاكستين بلطف وحنان، وكأنك تواسي طفلاً صغيراً.","الغي أي التزامات اجتماعية لا تشعر بالرغبة في حضورها. الأولوية الآن لراحتك."
54,حزين,"استنشق رائحة زيت عطري مهدئ (مثل اللافندر أو الفانيليا) لرفع مستوى السيروتونين.","تجنب السهر الطويل، فالحزن يتضاعف ويتضخم في ساعات الليل المتأخرة."
55,حزين,"ادخل للاستحمام بماء دافئ واسمح للماء بالانسياب على رأسك لغسل ثقل اليوم.","اعترف بأن ألمك حقيقي ومهم، ولا تقارن حزنك بحزن الآخرين."
56,حزين,"اجلس في بقعة تصلها أشعة الشمس المباشرة لدقائق معدودة.","قم بعمل روتيني بسيط جداً يذكرك بالماضي الدافئ (مثل ترتيب ألبوم صور)."
57,حزين,"احتضن حيواناً أليفاً أو وسادة ناعمة جداً لتفعيل هرمون الأوكسيتوسين (هرمون الحب).","تقبل أن الشفاء من الحزن ليس خطاً مستقيماً، بل يأتي على هيئة موجات."
58,حزين,"تذوق حساءً دافئاً أو مرقاً ببطء. الأطعمة الدافئة تعطي شعوراً داخلياً بالاحتواء.","ارتدِ أكثر ملابسك فضفاضة وراحة. لا داعي للأناقة عندما تحتاج الروح للراحة."
59,حزين,"اسند رأسك على ركبتيك ولف ذراعيك حول ساقيك في وضعية الجنين لبضع دقائق.","ابتعد تماماً عن الأخبار أو القصص الحزينة على منصات التواصل الاجتماعي اليوم."
60,حزين,"ارسم خطوطاً أو أشكالاً تعبر عن ضيقك بالألوان. الفن تفريغ صامت وقوي.","ذكر نفسك مراراً: 'كما مرت أيام صعبة سابقة، سيمر هذا اليوم أيضاً'."
61,تعبان,"عيناك وعقلك في حالة إجهاد. أغمض عينيك تماماً، واترك الجوال لمدة 10 دقائق في صمت.","ألغِ أو أجّل أي مهمة غير ضرورية. راحتك اليوم هي الأولوية لتجنب الاحتراق النفسي."
62,تعبان,"تمدد على ظهرك وضع قدميك على الجدار لمدة 5 دقائق. هذا يعكس الدورة الدموية ويريحك.","اسمح لنفسك بأخذ قيلولة أو الاسترخاء التام بدون الشعور بتأنيب الضمير."
63,تعبان,"اشرب كأساً كبيراً من الماء ببطء. الجفاف الخفيف هو المسبب الأول للشعور بالإرهاق.","اذهب للسرير أبكر بـ 30 دقيقة من المعتاد لتعويض الإرهاق المتراكم."
64,تعبان,"قم بعمل إطالة لطيفة للرقبة والأكتاف. التعب يتراكم في هذه العضلات كشد غير محسوس.","قلل من استهلاك السوشيال ميديا، فالعقل المتعب يستهلك طاقة في معالجة الصور."
65,تعبان,"رخِ فكك وأسقط كتفيك. نحن نحمل الكثير من الإرهاق على هيئة تشنج في هذه المناطق.","اطلب طعاماً من الخارج أو جهز أسهل وجبة ممكنة. وفر طاقة الطبخ لشيء أهم."
66,تعبان,"خذ حماماً دافئاً لتخفيف آلام العضلات والمفاصل المصاحبة للإرهاق الجسدي.","ارفض أي التزامات اجتماعية اليوم. 'طاقتي لا تسمح' هو عذر كامل ومقبول جداً."
67,تعبان,"اجلس في غرفة خافتة الإضاءة. الضوء الساطع يزيد من إجهاد الدماغ عندما تكون متعباً.","استمع لبرودكاست هادئ بدلاً من الشاشات لتقليل المجهود المعرفي المطلوب من عقلك."
68,تعبان,"قم بإجراء مسح جسدي: ركز انتباهك من أصابع قدميك وحتى رأسك لترخي كل عضلة.","ارتدِ أريح ملابسك اليوم. الراحة الجسدية الخارجية تنعكس إيجاباً على إحساسك الداخلي."
69,تعبان,"توقف عن التفكير فيما تبقى من اليوم، استلقِ فقط دون فعل أي شيء لمدة 5 دقائق.","لا تتخذ أي قرارات مصيرية أو تخطط للمستقبل وأنت مرهق. النظرة تكون تشاؤمية وقت التعب."
70,تعبان,"اغسل وجهك بماء بارد لإنعاش حواسك مؤقتاً إذا كنت مجبراً على إكمال مهمة ضرورية.","فوّض أي أعمال منزلية أو مكتبية يمكن لشخص آخر القيام بها اليوم."
71,تعبان,"دلك صدغيك (جانبي الرأس) بحركة دائرية لطيفة لتخفيف الصداع الناتج عن الإجهاد.","حدد وقتاً صارماً لإغلاق اللابتوب أو التوقف عن العمل، ولا تتجاوزه أبداً."
72,تعبان,"استلقِ على الأرض المريحة. الشعور بالدعم الصلب تحت ظهرك يريح العمود الفقري.","تجنب الأطعمة الدسمة والثقيلة اليوم، فهي تستهلك طاقة جسدك في الهضم وتزيد الخمول."
73,تعبان,"ضع هاتفك في وضع 'عدم الإزعاج' لمدة نصف ساعة لتنعم بهدوء حقيقي.","اقرأ صفحات قليلة من كتاب خفيف وممتع بعيداً عن صخب الشاشات المضيئة."
74,تعبان,"افرد ظهرك وارفع صدرك للأعلى. وضعية الجلوس المنحنية تضغط على الرئتين وتزيد التعب.","جهز غرفة نومك لتكون ملاذاً للراحة؛ رتب السرير وخفض التكييف والإضاءة."
75,تعبان,"تذوق كوباً من شاي الأعشاب ببطء شديد، وركز فقط على النكهة الدافئة.","صارح من حولك بقولك: 'أنا متعب جداً اليوم وأحتاج مساحتكم'. الوضوح يمنع العتب."
76,تعبان,"دلك باطن قدميك بلطف. الأقدام تحمل وزن اليوم كله وتحتاج لفك هذا الضغط.","لا تخجل من طلب المساعدة اليوم في أبسط الأمور، لست مضطراً لتكون البطل دائماً."
77,تعبان,"تثاءب بقوة وعمق. التثاؤب يبرد الدماغ ويدخل كمية أكسجين ممتازة للرئتين.","استمع لموسيقى كلاسيكية أو بدون كلمات في الخلفية لتلطيف الجو العام حولك."
78,تعبان,"غير وضعية جلوسك الحالية، وامشِ خطوتين فقط لتنشيط الدورة الدموية الراكده.","لا تجبر نفسك على الإنتاجية. تذكر أن الراحة هي شحن للبطارية وليست كسلاً."
79,تعبان,"انظر لمساحة خضراء أو نباتات طبيعية لثوانٍ معدودة. اللون الأخضر مريح بصرياً ونفسياً.","قسم أي مهمة متبقية لمراحل صغيرة جداً، وخذ استراحة 10 دقائق بعد كل مرحلة."
80,تعبان,"أغمض عينيك وتخيل نفسك مستلقياً على رمال شاطئ دافئ، استشعر الاسترخاء.","ذكر نفسك: 'لقد بذلت جهداً كافياً اليوم، ومن حقي الآن أن أتوقف وأرتاح'."
81,سعيد,"خذ نفساً عميقاً واستشعر هذه اللحظة بوعي. التقط صورة أو اكتب سطراً يخلد هذا الشعور.","استغل هذا الصفاء والمزاج العالي لإنجاز مهمة كنت تؤجلها منذ فترة."
82,سعيد,"ابتسم بوعي، وثبت هذا الشعور الجميل في ذاكرتك. السعادة اللحظية تحتاج لمن يقدرها.","اكتب في يومياتك بالتفصيل عن سبب سعادتك اليوم لتعود إليه في الأيام الصعبة."
83,سعيد,"أغمض عينيك لثوانٍ واشكر نفسك أو الظروف التي قادتك لهذا الشعور اللطيف.","كافئ نفسك اليوم بشيء تحبه (قهوتك المفضلة، وجبة لذيذة). احتفل بإنجازاتك الصغيرة."
84,سعيد,"استغل هذه الموجة من الطاقة الإيجابية في ترتيب مكانك أو تجهيز مساحتك.","انشر هذه البهجة! قدم مساعدة بسيطة أو رسالة شكر لشخص في محيطك."
85,سعيد,"قم بعمل حركة تمدد سريعة لتنشيط دورتك الدموية ومواكبة طاقتك العالية.","خطط لنشاط ممتع في نهاية الأسبوع، التخطيط للأشياء الجميلة يطيل من عمر السعادة."
86,سعيد,"شغل مقطعاً صوتياً تحبه، واسمح لنفسك بالانسجام معه بالكامل.","استثمر هذه الطاقة في إنجاز عمل إبداعي (رسم، تصميم، كتابة) فالعقل المبهوج يبتكر أفضل."
87,سعيد,"اسأل نفسك: 'أين أشعر بهذه السعادة في جسدي؟' وركز على هذا الإحساس الجميل.","شارك طاقتك الإيجابية بكلمة طيبة لمن تحب لتقوية روابطك الاجتماعية."
88,سعيد,"انظر حولك ولاحظ الألوان والإضاءة. تثبيت الحواس يربط السعادة باللحظة الحالية.","قل لنفسك بصوت مسموع: 'أنا أستحق هذه اللحظات الجيدة'. عزز استحقاقك للفرح."
89,سعيد,"تخيل أن هذا الشعور ضوء دافئ يملأ صدرك ويمتد لباقي جسدك.","راجع قائمة أهدافك. النظر للإنجازات وأنت في حالة سعادة يرفع من ثقتك بنفسك."
90,سعيد,"قم برقصة صغيرة أو تمايل بحرية في مكانك للتعبير الجسدي عن بهجتك.","ادفع ثمن قهوة شخص غريب أو قدم هدية بسيطة مجهولة، العطاء يضاعف البهجة."
91,سعيد,"اعطِ نفسك 'High-Five' ذهنياً أو فعلياً في المرآة احتفاءً بجمال اللحظة.","ابدأ بهواية جديدة أو تعلم مهارة بسيطة اليوم، فعقلك الآن مستعد بشغف للإضافة."
92,سعيد,"اضحك بصوت مسموع حتى لو تذكرت موقفاً طريفاً، الضحك يثبت الشعور الإيجابي.","التقط صورة لشيء جميل في يومك (غيوم، كوب قهوة) واحتفظ بها في مفضلتك."
93,سعيد,"احتفظ بشيء ملموس من هذه اللحظة (ورقة، تذكرة) كذكرى للسعادة.","اتصل بصديق قديم تشتاق إليه، مشاركة المزاج الجيد تنعش العلاقات."
94,سعيد,"أغمض عينيك واسمح للشعور بالتمدد من رأسك وحتى أطراف أصابعك.","استخدم ثقتك العالية اليوم في اتخاذ قرار كنت تتردد فيه طويلاً."
95,سعيد,"اقفز في مكانك 3 مرات بخفة، هذه الحركة ترفع مستوى الإندورفين فوراً.","تبرع بمبلغ بسيط أو ساهم في عمل خيري، فالسعادة الحقيقية تكتمل بالعطاء."
96,سعيد,"غنِّ بصوت مسموع مع مقطع تفضله، التعبير الصوتي يحرر الطاقة الإيجابية.","اصنع وجبة مميزة لنفسك أو لمن تحب بحب واستمتاع."
97,سعيد,"قف أمام المرآة وابتسم لنفسك برضا تام عن انعكاسك.","اكتب تقييماً إيجابياً لمطعم أو كتاب أحببته لتدعم غيرك بكلماتك."
98,سعيد,"أخبر شخصاً بجوارك عن الأخبار الجيدة التي تشعر بها فوراً.","ابدأ بالتخطيط لرحلة أو نزهة قادمة، مجرد التخطيط يرفع هرمونات السعادة."
99,سعيد,"تذوق قطعة حلوى أو فاكهة ببطء شديد وتلذذ بطعمها كاملاً.","اصنع 'لوحة أهداف' (Vision Board) لِما تتمنى تحقيقه، فرؤيتك اليوم مشرقة."
100,سعيد,"عانق شخصاً تحبه بقوة، أو عانق نفسك بحنان لتعزيز شعور الرضا.","وثق نجاحاتك اليوم في قائمة وافتخر بما أنجزته مهما كان بسيطاً."
101,هادئ,"استمتع بهذا التوازن الداخلي وصمت اللحظة. الهدوء هو الحالة المثالية للوضوح العقلي.","عقلك الآن في أفضل حالاته للاستيعاب. خطط لأهدافك القادمة بوضوح."
102,هادئ,"مارس تأملاً قصيراً لتعزيز هذا الصفاء والاحتفاظ به أطول فترة ممكنة.","رتب مساحتك الشخصية (مكتبك/غرفتك)، فالتنظيم المادي سينعكس على هدوئك الداخلي."
103,هادئ,"حافظ على إيقاع تنفسك البطيء، وراقب الأفكار وهي تعبر ذهنك بهدوء دون التفاعل معها.","استغل هذا الاستقرار في إنجاز الأعمال التي تتطلب تركيزاً عميقاً بعيداً عن المشتتات."
104,هادئ,"اصنع كوباً من مشروبك المفضل، واشربه ببطء مع التركيز على النكهة واللحظة الحالية.","اكتب أهدافك طويلة المدى؛ الوضوح الذهني الذي تملكه الآن سيساعدك على رؤية الصورة الكاملة."
105,هادئ,"اخرج للشرفة أو الفناء لبضع دقائق وراقب السماء بسكون وبدون تحليل.","راجع ميزانيتك المالية أو جدول مواعيدك. الهدوء يجعلك أكثر منطقية في ترتيب حياتك."
106,هادئ,"قم بتسجيل شعورك اللحظي ووثق هذه الحالة كمرجع تعود إليه عندما تكون متوتراً.","تخلص من الفوضى الرقمية (امسح إيميلات، رتب ملفاتك). الترتيب يعزز هذا الصفاء."
107,هادئ,"ارخِ عضلات وجهك تماماً. اسمح لوجهك بأن يعكس هدوءك الداخلي.","حافظ على حدودك اليوم. لا تسمح للدراما الخارجية أو مشاكل الآخرين باختراق هدوئك."
108,هادئ,"استمع إلى صمت الغرفة. قدر هذه اللحظة الخالية من الركض والمطالبات المستمرة.","اقرأ مقالاً علمياً أو فصلاً معقداً. قدرتك على الفهم والتحليل في أوجها اليوم."
109,هادئ,"ابتسم ابتسامة خفيفة، وذكر نفسك أن كل شيء في مكانه الصحيح في هذه اللحظة.","تأمل في العادات التي أوصلتك لهذا الهدوء وحاول تثبيتها في روتينك اليومي."
110,هادئ,"اجلس في بقعة ذات إضاءة طبيعية واشعر بدفء النور على بشرتك.","ابدأ بقراءة كتاب صعب أو دسم كنت تؤجله، فذهنك اليوم صافٍ جداً."
111,هادئ,"مارس لعبة تركيز بسيطة كتركيب الصور (Puzzle) أو السودوكو بهدوء.","نظم مساحة العمل الخاصة بك للغد لتبدأ يومك القادم بنفس هذا الصفاء."
112,هادئ,"ضع يدك على قلبك ولاحظ انتظام نبضاتك الهادئة بامتنان.","اكتب تفكراً حول التطور الشخصي الذي مررت به مؤخراً."
113,هادئ,"اشرب كوباً من الماء بوعي كامل لكل قطرة تروي جسدك.","جهز ملابسك وأغراضك ليوم غد بهدوء وتأنٍ."
114,هادئ,"اكتب خاطرة أو قصيدة قصيرة تعكس هذا السكون الداخلي المريح.","قم بإلغاء الاشتراك من القوائم البريدية المزعجة التي تملأ هاتفك بالإشعارات."
115,هادئ,"أشعل شمعة وراقب تراقص اللهب بهدوء لمدة دقيقة كاملة.","مارس الحضور الذهني (Mindfulness) أثناء تناول وجبتك القادمة بدون شاشات."
116,هادئ,"قم بإطالة خفيفة جداً لذراعيك وظهرك للحفاظ على استرخاء العضلات.","اعصف ذهنك (Brainstorm) لأفكار مشاريع أو حلول لمشاكل عالقة."
117,هادئ,"أغمض عينيك واستشعر جاذبية الأرض وهي تسند جسدك بأمان.","راجع إنجازاتك في الشهر الماضي وقيمها بإنصاف وموضوعية."
118,هادئ,"امشِ في أرجاء المكان بخطوات طبيعية وتأملية، بدون عجلة.","قم بفرز صورك القديمة وحذف المكرر منها لترتيب ذاكرتك الرقمية."
119,هادئ,"افتح النافذة واستشعر نسمة الهواء الخفيفة على وجهك بصمت.","حدث سيرتك الذاتية أو حساباتك المهنية، الهدوء يمنحك صياغة احترافية."
120,هادئ,"ركز على صوت دقات الساعة أو أي صوت رتيب ومنتظم في محيطك.","اسمح لنفسك بأن تستمتع بالـ (لا شيء)، الجلوس بلا إنجاز هو إنجاز بحد ذاته."
